江苏锐盾|硬件|江苏|2004.1|尚未获投
天天美印|文化娱乐|广西|2015.9|尚未获投
众力金融|金融|北京|2015.2|尚未获投
趣练|体育运动|广东|2016.1|天使轮
瞬语|社交网络|广东|2014.12|种子轮
烽候体育|体育运动|北京|2016.8|尚未获投
公司|电子商务|北京|2012.5|尚未获投
樱桃猫全球红酒精选|电子商务|广东|2014.12|尚未获投
兴趣到家|教育|上海|2016.7|尚未获投
酷开网络|硬件|广东|2006.10|战略投资
随处可栖|企业服务|北京|2014.7|尚未获投
石油树脂网|企业服务|山东|2005.3|种子轮
海爵国际邮轮|旅游|上海|2016.5|尚未获投
DSWJCMS|金融|浙江|2013.10|尚未获投
上品专医|医疗健康|四川|2015.9|尚未获投
置家行动|房产服务|天津|2016.7|尚未获投
公司|工具软件|北京|2016.1|天使轮
弘睿康|医疗健康|广东|2013.4|A轮
克一科技Argo|硬件|北京|2015.7|天使轮
有童哇哇|教育|北京|2016.3|尚未获投
琥珀金服|金融|广东|2015.6|战略投资
清谷科技|广告营销|福建|2015.8|尚未获投
左创|本地生活|广东|2013.6|A轮
职行力|企业服务|福建|2015.6|尚未获投
锋讯科技|硬件|河南|2012.3|种子轮
易前期|企业服务|北京|2016.4|尚未获投
公司|医疗健康|北京|2016.2|尚未获投
夜猫看片|文化娱乐|北京|2016.7|尚未获投
星空社|文化娱乐|四川|2015.12|尚未获投
太空科技|硬件|广东|2015.1|尚未获投
创视云端|文化娱乐|湖北|2016.8|尚未获投
小宝金服|金融|广东|2013.5|A轮
校轻松|旅游|湖北|2013.10|尚未获投
清享悦眠|硬件|上海|2015.3|天使轮
e转诊|医疗健康|北京|2011.6|尚未获投
康安途|医疗健康|上海|2015.5|尚未获投
公司|硬件|北京|2016.3|种子轮
旅票|旅游|广东|2016.6|尚未获投
数粮|企业服务|北京|2016.7|尚未获投
比赛帮|体育运动|北京|2016.3|尚未获投
娱子酱|文化娱乐|广东|2014.12|天使轮
捷软科技|企业服务|甘肃|2004.6|尚未获投
聚享云数据|金融|山东|2015.10|尚未获投
黑牛证券|金融|山东|2015.10|尚未获投
今典院线|文化娱乐|北京|2011.4|已被收购
壹米滴答|物流|上海|2015.6|A轮
公司|硬件|上海|2013.11|尚未获投
旦晟化道|企业服务|北京|2016.3|尚未获投
摩图morpx|企业服务|浙江|2013.7|尚未获投
中国肉联网|电子商务|河南|2016.4|尚未获投
贝泰科技|体育运动|上海|2002.7|A轮
健康+分|医疗健康|北京|2013.1|尚未获投
握递|物流|山西|2016.1|尚未获投
多米游|旅游|上海|2013.11|天使轮
宏投网络|游戏|上海|2016.2|已被收购
三仟模特|文化娱乐|福建|2016.3|尚未获投
公司|本地生活|江西|2016.3|尚未获投
跑视界|工具软件|北京|2016.8|尚未获投
晟然教育|教育|湖北|2014.8|尚未获投
工作速递|企业服务|陕西|2015.12|尚未获投
勤拿商城|电子商务|河南|2016.8|种子轮
DarkPlum乌梅|电子商务|北京|2016.8|尚未获投
点开微商城|电子商务|北京|2015.7|A轮
脑洞网|社交网络|云南|2016.5|尚未获投
茅炉|企业服务|浙江|2015.12|天使轮
齐海金融|汽车交通|湖北|2014.3|已被收购
公司|房产服务|江苏|2014.12|A轮
MyHR|企业服务|广东|2016.1|天使轮
淘不锈|电子商务|江苏|2016.7|尚未获投
友信宏科|硬件|北京|2010.3|B轮
1号签|企业服务|北京|2015.7|天使轮
亿封简历|企业服务|广东|2014.7|Pre-A轮
恒信启华|企业服务|北京|2006.3|A轮
再鼎医药|医疗健康|上海|2013.1|B轮
轻途直播|企业服务|上海|2016.5|尚未获投
北方汽修|教育|河北|2007.3|A轮
公司|教育|河北|2016.6|尚未获投
钛米机器人|硬件|上海|2015.1|天使轮
小胖熊|房产服务|北京|2015.9|天使轮
普利莫空气净化器|硬件|浙江|2014.10|天使轮
画匠|社交网络|广东|2016.7|尚未获投
租我么|本地生活|福建|2015.5|天使轮
神奇科学堂|教育|上海|2004.4|天使轮
Seeta中科视拓|企业服务|北京|2016.8|天使轮
蓝鲸教育|文化娱乐|北京|2016.5|天使轮
只有一个|文化娱乐|北京|2015.12|天使轮
公司|医疗健康|广东|2016.6|尚未获投
感控工作间|医疗健康|湖南|2014.5|尚未获投
慕溪北欧旅游|旅游|广东|2012.12|尚未获投
去发现|电子商务|广东|2014.12|尚未获投
鬼工科技|体育运动|北京|2014.7|尚未获投
烂柯围棋|文化娱乐|青海|2011.3|尚未获投
乐只|医疗健康|浙江|2016.6|天使轮
车巡IMS|企业服务|浙江|2013.1|天使轮
送风侠|企业服务|江苏|2016.3|尚未获投
超能访客|企业服务|北京|2015.8|尚未获投
公司|金融|上海|2015.10|天使轮
今菜网|电子商务|贵州|2016.3|尚未获投
齐配|汽车交通|上海|2008.1|尚未获投
AnyRTC铂渊|企业服务|上海|2006.3|尚未获投
口语猫|教育|浙江|2015.12|尚未获投
乐一番|物流|上海|2013.1|尚未获投
立夫转运|物流|江苏|2011.6|尚未获投
直麦网|电子商务|江苏|2016.3|天使轮
bkw studio|文化娱乐|北京|2013.1|A轮
嗨住|房产服务|上海|2015.4|天使轮
公司|医疗健康|广东|1995.12|已上市
1001户外旅行网|旅游|陕西|2015.2|尚未获投
Whoolala呼啦啦|电子商务|上海|2015.7|尚未获投
滑呗|体育运动|北京|2015.5|天使轮
大众车团网|汽车交通|上海|2015.5|尚未获投
错题管家|教育|广东|2009.4|尚未获投
扁桃娱乐|文化娱乐|上海|2016.5|尚未获投
维京互动|游戏|四川|2016.5|种子轮
QMER全景头戴影院|硬件|广东|2015.7|尚未获投
量子健康|医疗健康|广东|2016.7|尚未获投
公司|游戏|四川|2015.11|天使轮
知遇|企业服务|北京|2015.1|尚未获投
微视酷科技|教育|北京|2015.9|Pre-A轮
印象InterPhoto|工具软件|广东|2016.6|A轮
陕西广电网络|文化娱乐|陕西|2001.6|已上市
便宜车|汽车交通|北京|2015.10|Pre-A轮
领络|企业服务|广东|2015.1|尚未获投
蒲公英科技|硬件|湖南|2016.2|天使轮
序康医疗|医疗健康|上海|2015.4|B轮
邻家好医|医疗健康|浙江|2016.2|天使轮
公司|教育|北京|2016.6|种子轮
古德菲力|体育运动|广东|2012.12|A轮
股先生|金融|四川|2016.1|不明确
友薪|企业服务|北京|2016.6|尚未获投
光采网|电子商务|北京|2015.12|尚未获投
亲亲云|企业服务|陕西|2013.9|尚未获投
食在有趣|本地生活|浙江|2015.6|天使轮
彬彬有理|文化娱乐|北京|2014.3|尚未获投
棉联网|电子商务|上海|2015.6|Pre-A轮
侠影江湖|文化娱乐|福建|2015.7|种子轮
